Date,Close,High,Low,Open,Volume
2022-01-10,1190.0848388671875,1199.2632090091847,1179.7836812862238,1198.0426842347667,332908
2022-01-11,1198.5064697265625,1207.880195425144,1186.8871691314691,1186.8871691314691,668500
2022-01-12,1230.58203125,1232.412818538106,1203.6327470155768,1207.074650955592,392618
2022-01-13,1237.782958984375,1240.5168627796957,1224.8209629152577,1232.0952424037885,544388
2022-01-14,1239.4183349609375,1252.9905927673326,1233.1204755086344,1235.170933061115,467728
2022-01-17,1246.0582275390625,1252.2584698085109,1239.4429591525757,1239.8579852696141,204102
2022-01-18,1230.7039794921875,1251.1843610486833,1228.092008838978,1246.3998801693144,388602
2022-01-19,1230.972412109375,1240.8586627283441,1224.8210387949173,1233.364712169335,264982
2022-01-20,1210.1746826171875,1226.0170694926162,1198.5552635557483,1219.0600786552764,405138
2022-01-21,1209.8330078125,1221.4767424792255,1196.1874456756636,1196.1874456756636,640284
2022-01-24,1160.743408203125,1222.5263915129533,1148.6113451738258,1209.832934806056,1158674
2022-01-25,1158.86376953125,1166.1381682659874,1125.3482089108968,1154.4698806066485,879034
2022-01-27,1141.5567626953125,1150.002817537483,1128.7412532242329,1144.8521794164474,771394
2022-01-28,1140.1654052734375,1158.2291724050453,1137.040909446342,1154.616466655474,5574384
2022-01-31,1165.0396728515625,1174.8038702674892,1149.7342457253524,1149.7342457253524,371178
2022-02-01,1162.1593017578125,1181.736567589285,1146.145992246747,1176.5859289994803,4993890
2022-02-02,1163.6483154296875,1176.7811142748849,1159.9867411205946,1176.7811142748849,675340
2022-02-03,1148.611328125,1172.4604277605201,1146.3167655927225,1163.892320772168,272788
2022-02-04,1138.407958984375,1147.0736853969497,1133.6234777463806,1146.8051460922686,660908
2022-02-07,1131.4996337890625,1150.6131230028827,1125.3482605275926,1141.4347529899103,3287054
2022-02-08,1150.02734375,1152.1509854026103,1127.7649235562942,1138.9937517994954,3203404
2022-02-09,1163.8680419921875,1165.1618698253792,1151.4919917477116,1155.6417761641464,2712252
2022-02-10,1161.4512939453125,1170.4343079787786,1154.6163556875426,1170.4343079787786,452108
2022-02-11,1160.4017333984375,1163.8923864612866,1144.3395563822357,1159.010287524788,384486
2022-02-14,1141.8253173828125,1149.246083890717,1122.8827497657812,1122.8827497657812,620496
2022-02-15,1180.1741943359375,1183.4207423425985,1140.385089343808,1148.2696311839074,779598
2022-02-16,1177.733154296875,1187.3508651157517,1169.7508750644927,1185.1539206508978,483666
2022-02-17,1193.624267578125,1198.2622613590247,1176.8298956692972,1180.4914697068496,497332
2022-02-18,1183.4940185546875,1199.0435520344902,1181.956204998168,1188.7911438126969,484682
2022-02-21,1171.77685546875,1189.669818469933,1164.3805237181027,1178.977950950864,496548
2022-02-22,1165.9427490234375,1169.6043229269897,1145.7064744215102,1148.269576153997,776214
2022-02-23,1158.9127197265625,1174.6574894807095,1156.0322097137805,1171.0203494533976,374556
2022-02-24,1101.206298828125,1142.337982929696,1094.8107014572454,1129.7177093297953,1101070
2022-02-25,1115.046875,1126.3001360012802,1110.970394223997,1110.970394223997,469896
2022-02-28,1151.73583984375,1155.5926497644489,1096.0310514242449,1097.0319053986595,723526
2022-03-02,1170.9224853515625,1171.923339407041,1138.0660569922404,1146.8538345082968,597466
2022-03-03,1161.060791015625,1178.7584003581771,1157.0574935682362,1177.0740999970537,464490
2022-03-04,1135.2589111328125,1154.469898717181,1132.9154798312231,1149.7342866403055,412620
2022-03-07,1093.565673828125,1128.6680349756994,1085.1196192436955,1120.9298608639829,1154644
2022-03-08,1091.9788818359375,1096.4216388798868,1064.7856186684244,1076.5026543621623,1331860
2022-03-09,1149.1485595703125,1155.4464200042514,1090.6365516558722,1097.9841349567193,861916
2022-03-10,1168.4083251953125,1179.026890356912,1152.1753462701085,1179.026890356912,962592
2022-03-11,1170.9715576171875,1176.7812083084334,1158.0339940245858,1158.0339940245858,584574
2022-03-14,1180.7601318359375,1183.5917732246571,1159.4985658738544,1168.7745544008453,632126
2022-03-15,1153.859619140625,1187.2288121758997,1142.996949290921,1187.2288121758997,825968
2022-03-16,1173.2904052734375,1175.1456266734622,1160.2063565265744,1165.8207701999936,552414
2022-03-17,1210.589599609375,1219.011220166988,1172.2651234486425,1190.2557054760007,572886
2022-03-21,1204.48681640625,1212.5667128103635,1192.208387041997,1197.0904852690321,415832
2022-03-22,1235.7081298828125,1237.6121008227146,1198.0670987845924,1202.8027109927589,608568
2022-03-23,1239.9066162109375,1252.2583500911455,1233.3157827894051,1233.3157827894051,400442
2022-03-24,1258.5562744140625,1261.290297576171,1226.4077234808053,1227.8479188713256,655516
2022-03-25,1267.734619140625,1276.6688841183357,1258.1169079820081,1258.5562492137522,391982
2022-03-28,1279.9154052734375,1283.576979433652,1262.9501116644435,1274.7160176426798,684382
2022-03-29,1280.1595458984375,1287.4095106144823,1273.3490416089876,1287.4095106144823,256086
2022-03-30,1304.985107421875,1312.3082561728395,1278.0115095224892,1287.8488916678684,309192
